Trimestre;Sentido transacción;Ramas actividad;Código (armonización según CNAE y CNPA);Evolución trimestral del volumen de negocio (€)
2022T2;Dentro de España;Manipulación y depósito de mercancías;5224 + 5210;0
2022T2;Dentro de España;Mantenimiento físico corporal;9604;946087,81
2022T2;Dentro de España;Mantenimiento y  reparación de vehículos de motor;4520;34927662,34
2022T2;Dentro de España;Marketing directo;4799;40367274,28
2022T2;Dentro de España;Materias primas y productos semielaborados;4676;0
2022T2;Dentro de España;Metales y minerales metálicos;4672;0
2022T2;Dentro de España;Muebles, iluminación y hogar;4753 + 4759;113828927,83
2022T2;Dentro de España;Óptica, fotografía y precisión;470083;22639669,89
2022T2;Dentro de España;Ordenadores y programas informáticos;4651 + 4741;32755004,33
2022T2;Dentro de España;Otra reparación;9529;0
2022T2;Dentro de España;Otro comercio especializado en alimentación;4729;13705,13
2022T2;Dentro de España;Otro comercio no especializado;4690;0
2022T2;Dentro de España;Otros;-;176228664,78
2022T2;Dentro de España;Otros artículos de uso doméstico;4649;0
2022T2;Dentro de España;Otros servicios personales;9609;11247,03
2022T2;Dentro de España;Panadería, confitería y pastelería;4724;796839,78
2022T2;Dentro de España;Parques de atracciones y parques temáticos;9321;17951531,63
2022T2;Dentro de España;Peluquería y tratamientos de belleza;9602;22362023,44
2022T2;Dentro de España;Perfumería, cosméticos y artículos de tocador;4775;67985433,56
2022T2;Dentro de España;Pompas fúnebres;9603;1010982,12
2022T2;Dentro de España;Prendas de vestir;4771;141708432,16
2022T2;Dentro de España;Productos de tabaco;4726;4928063,57
2022T2;Dentro de España;Productos farmacéuticos;4646 + 4773;53338826,45
2022T2;Dentro de España;Productos químicos;4675;0
2022T2;Dentro de España;Publicidad;7311;118185746,72
2022T2;Dentro de España;Relojería, joyería y platería;4648+ 4777;8556979,53
2022T2;Dentro de España;Reparación de aparatos domésticos eléctricos;9521;0
2022T2;Dentro de España;Reparación de calzado y otros artículos de cuero;9523;322159,51
2022T2;Dentro de España;Repuestos y accesorios de vehículos de motor;4532;44833620,19
2022T2;Dentro de España;Restaurantes;5610;74320092,79
2022T2;Dentro de España;Seguros y planes de pensiones;6512;170282135,19
2022T2;Dentro de España;Selección y colocación de personal;7810;0
2022T2;Dentro de España;Semillas, flores, plantas y animales de compañía;4776;35440157,62
2022T2;Dentro de España;Servicios auxiliares a la intermediación financiera;6610;35569019,53
2022T2;Dentro de España;Servicios de  jardinería;8130;0
2022T2;Dentro de España;Servicios de fotografía y reprografía;7420+ 8219;0
2022T2;Dentro de España;Servicios de investigación;8030;0
2022T2;Dentro de España;Servicios de limpieza;8121;0
2022T2;Dentro de España;Servicios informáticos;6209;0
2022T2;Dentro de España;Servicios inmobiliarios;6820;19361323,86
2022T2;Dentro de España;Servicios postales y paquetería;5310;4291929,68
2022T2;Dentro de España;Servicios sanitarios;86;15301864,76
2022T2;Dentro de España;Servicios sociales;88;0
2022T2;Dentro de España;Servicios veterinarios;75;0
2022T2;Dentro de España;Suscripción canales tv;6020;252249,76
2022T2;Dentro de España;Transporte aéreo;5110;310947410,7
2022T2;Dentro de España;Transporte marítimo;5010;54341342,62
2022T2;Dentro de España;Transporte terrestre de mercancias;4941;5914561,98
2022T2;Dentro de España;Transporte terrestre de viajeros;4931 +4933 + 4939;261710692,99
2022T2;Dentro de España;Vehículos de motor;4511;0
2022T2;Dentro de España;Ventas genéricas por internet;4791;9748875,63
2022T2;Desde el exterior con España;Actividades anexas al transporte;5221 + 5223;3605767,48
2022T2;Desde el exterior con España;Actividades cinematográficas y de vídeo;5917 + 7722;1657552,66
2022T2;Desde el exterior con España;Actividades deportivas y recreativas;93;14040116,52
2022T2;Desde el exterior con España;Administración pública, impuestos y seg. Social;8411;30905084,99
2022T2;Desde el exterior con España;Agencias de viajes y operadores turísticos;7911 + 7912;1036538374,24
2022T2;Desde el exterior con España;Alquiler de aeronaves;7735;551908,46
2022T2;Desde el exterior con España;Alquiler de automóviles;7711;175082795,79
2022T2;Desde el exterior con España;Alquiler de efectos personales y enseres domésticos;7729;0
2022T2;Desde el exterior con España;Alquiler de medios de navegación;7734;5664611,95
2022T2;Desde el exterior con España;Arquitectura e ingeniería;7111;811860,76
2022T2;Desde el exterior con España;Artículos de regalo;4778;12216077,58
2022T2;Desde el exterior con España;Artículos médicos y ortopédicos;4774;447,03
2022T2;Desde el exterior con España;Asociacionismo y beneficencia;94;19131363,6
2022T2;Desde el exterior con España;Bebidas;4725;1810201,08
2022T2;Desde el exterior con España;Bibliotecas, museos y patrimonio cultural;91;11176534,15
2022T2;Desde el exterior con España;Bienes de segunda mano;4779;0
2022T2;Desde el exterior con España;Calzado y artículos de cuero;4772;8743601,16
2022T2;Desde el exterior con España;Carburantes para automoción;4730;12046546,02
2022T2;Desde el exterior con España;Componentes y equipos electrónicos;4652;0
2022T2;Desde el exterior con España;Construcción de inmuebles y obras de ingeniería civil;41;0
2022T2;Desde el exterior con España;Descargas de aplicaciones y contenidos y otros servicios de gestión;6312 + 6920;0
2022T2;Desde el exterior con España;Discos, libros, periódicos y papelería;4761 + 4763;11057753,18
2022T2;Desde el exterior con España;Educación;85;75977605,49
2022T2;Desde el exterior con España;Electrodomésticos,  imagen y sonido;4743+4754;38105593,67
2022T2;Desde el exterior con España;Energía eléctrica, gas, vapor y aire acondicionado;35;17988039,91
2022T2;Desde el exterior con España;Ensayos y análisis técnicos;7120;0
2022T2;Desde el exterior con España;Equipos de telecomunicaciones y recargas telefónicas;61 + 4742;13981020,82
2022T2;Desde el exterior con España;Equipos y mobiliario de oficina;4665+4666;0
2022T2;Desde el exterior con España;Espectáculos artísticos, deportivos y recreativos;90 + 7990;86237848,46
2022T2;Desde el exterior con España;Ferretería, pinturas y vidrio;4674 + 4752;15344686,37
2022T2;Desde el exterior con España;Floristerías;4622;3877,43
2022T2;Desde el exterior con España;Galerías de arte comerciales;470069;8109796,25
2022T2;Desde el exterior con España;Grandes almacenes;4719;10282093,33
2022T2;Desde el exterior con España;Hipermercados, supermercados y tiendas de alimentación;4711;33725322,32
2022T2;Desde el exterior con España;Hoteles  y alojamientos similares;5510;259990241,71
2022T2;Desde el exterior con España;Instalaciones de edificios y obras;43;0
2022T2;Desde el exterior con España;Intermediación financiera;6419 + 6619;3922738,13
2022T2;Desde el exterior con España;Intermediarios de comercio;4617;0
2022T2;Desde el exterior con España;Juegos de azar y apuestas;92;11092521,26
2022T2;Desde el exterior con España;Juguetes y artículos de deporte;4764 + 4765;20243930,54
2022T2;Desde el exterior con España;Lavanderías y tintorerías;9601;24483,16
2022T2;Desde el exterior con España;Madera, materiales de construcción y aparatos sanitarios;4673;0
2022T2;Desde el exterior con España;Manipulación y depósito de mercancías;5224 + 5210;0
2022T2;Desde el exterior con España;Mantenimiento físico corporal;9604;337437,36
2022T2;Desde el exterior con España;Mantenimiento y  reparación de vehículos de motor;4520;7473479,8
2022T2;Desde el exterior con España;Marketing directo;4799;3291876,67
2022T2;Desde el exterior con España;Materias primas y productos semielaborados;4676;0
2022T2;Desde el exterior con España;Metales y minerales metálicos;4672;0
2022T2;Desde el exterior con España;Muebles, iluminación y hogar;4753 + 4759;11079478,45
2022T2;Desde el exterior con España;Óptica, fotografía y precisión;470083;10060502,25
2022T2;Desde el exterior con España;Ordenadores y programas informáticos;4651 + 4741;12839718,13
2022T2;Desde el exterior con España;Otra reparación;9529;0
2022T2;Desde el exterior con España;Otro comercio especializado en alimentación;4729;450,34
2022T2;Desde el exterior con España;Otro comercio no especializado;4690;0
2022T2;Desde el exterior con España;Otros;-;54135320,93
2022T2;Desde el exterior con España;Otros artículos de uso doméstico;4649;0
2022T2;Desde el exterior con España;Otros servicios personales;9609;3908,86
2022T2;Desde el exterior con España;Panadería, confitería y pastelería;4724;61168,78
2022T2;Desde el exterior con España;Parques de atracciones y parques temáticos;9321;10570095,39
2022T2;Desde el exterior con España;Peluquería y tratamientos de belleza;9602;1918256,65
2022T2;Desde el exterior con España;Perfumería, cosméticos y artículos de tocador;4775;13573442,74
2022T2;Desde el exterior con España;Pompas fúnebres;9603;51232,82
2022T2;Desde el exterior con España;Prendas de vestir;4771;79171294,33
2022T2;Desde el exterior con España;Productos de tabaco;4726;1860564,8
2022T2;Desde el exterior con España;Productos farmacéuticos;4646 + 4773;6533690,87
2022T2;Desde el exterior con España;Productos químicos;4675;0
2022T2;Desde el exterior con España;Publicidad;7311;54931362,57
2022T2;Desde el exterior con España;Relojería, joyería y platería;4648+ 4777;3316317,73
2022T2;Desde el exterior con España;Reparación de aparatos domésticos eléctricos;9521;0
2022T2;Desde el exterior con España;Reparación de calzado y otros artículos de cuero;9523;75253,71
2022T2;Desde el exterior con España;Repuestos y accesorios de vehículos de motor;4532;13511074,36
2022T2;Desde el exterior con España;Restaurantes;5610;22310379,2
2022T2;Desde el exterior con España;Seguros y planes de pensiones;6512;12989399,79
2022T2;Desde el exterior con España;Selección y colocación de personal;7810;0
2022T2;Desde el exterior con España;Semillas, flores, plantas y animales de compañía;4776;5395490,49
2022T2;Desde el exterior con España;Servicios auxiliares a la intermediación financiera;6610;18327824,42
2022T2;Desde el exterior con España;Servicios de  jardinería;8130;0
